TITLE,AUTHOR,URL
11 Medicinal Plants You Can Grow at Home for Respiratory & Digestive Health,Anjali Krishnan,https://www.thebetterindia.com/275189/expert-medicinal-herb-garden-how-to-grow-at-home-tips/
"25-YO Earns Rs 20k/Month With Mushroom Farming, Inspires 100s Of Women to Follow",Gopi Karelia,https://www.thebetterindia.com/275171/uttarakhand-farmer-grows-mushrooms-earns-in-thousands-helps-women/
‘I Followed These 10 Tips to Go From Rank 222 to 11’: IAS Officer on Cracking UPSC,Vidya Raja,https://www.thebetterindia.com/275169/ias-devyani-yadav-cracks-upsc-cse-shares-mock-prelims-essay-tips/
"Punjab Man Builds a Mobile, Eco-friendly Crematorium to Ensure Dignity of Funerals",Anagha R Manoj,https://www.thebetterindia.com/275156/mobile-ecofriendly-crematorium-built-by-harjinder-singh-cheema/
Engineer Quits Job To Bring Age-Old Traditional Pottery To Modern Kashmiri Kitchens,Anjali Krishnan,https://www.thebetterindia.com/275127/engineer-quits-job-pottery-art-kashmir-kral-koor-saima-shaifi/
How a Global Organisation is Safeguarding Planet Earth’s Key to Survival,Ananya Barua,https://www.thebetterindia.com/275135/island-conservation-ngo-preserves-endangered-wildlife-species-with-lenovo/
‘I Pawned My Gold Chain & Spent Rs 1.5 Lakh to Renovate Our Anganwadi’,Anjali Krishnan,https://www.thebetterindia.com/275087/tamil-anganwadi-teacher-uses-savings-to-renovate-school-grows-vegetables/
10 Eco-Friendly Valentine’s Day Gifts Your Partner Will Totally Love,Anagha R Manoj,https://www.thebetterindia.com/275035/ecofriendly-valentines-day-gift-on-amazon-india/
"‘Refuse to Quit’: Amid Cancer Battle, Hamsa Nandini Is a Picture of Strength & Grace",Anagha R Manoj,https://www.thebetterindia.com/275102/telugu-actress-hamsa-nandini-shares-breast-cancer-battle-on-instagram/
"Engineer Earns Rs 10 Lakh with Simple Innovation, Helps 3000 Farmers Increase Yield",Himanshu Nitnaware,https://www.thebetterindia.com/275090/engineer-biofertiliser-innovation-farmers-increase-yield-reduce-water-needs/
"1st Woman Entrepreneur From Village, 63-YO Earns Rs 50K/Month with Organic Rice & Ragi",Himanshu Nitnaware,https://www.thebetterindia.com/275099/first-woman-rural-entrepreneur-village-success-organic-ragi-rice-millets-farming/
"How This ‘School’ Impacted Over 1.5 Lakh Lives, Created 75+ Changemakers",Rinchen Norbu Wangchuk,https://www.thebetterindia.com/275083/school-for-social-entrepreneurship-sse-india-supports-changemakers-shalabh-mittal/
‘I Rode 2400 km From Delhi to Leh on my Bullet’: 56-YO on Her Urge to Break Stereotypes,Vidya Raja,https://www.thebetterindia.com/275055/woman-biker-mini-augustine-rides-delhi-leh-bhutan-rajasthan-bullet/
100% Solar Home Has Unique Cement Beds & Saves Upto 10000 Litres Of Water!,Gopi Karelia,https://www.thebetterindia.com/275051/bengaluru-unique-ecofriendly-solar-home-harvests-rain/
Padma Winning Doctor Couple’s Healthcare Model Has Been Replicated in 100+ Countries,Rinchen Norbu Wangchuk,https://www.thebetterindia.com/275012/doctor-mabelle-rajanikant-arole-comprehensive-rural-health-project-jamkhed-maharashtra/
From Son of Tonga Driver in British India to Business Icon in Africa: A Story of Grit,Ananya Barua,https://www.thebetterindia.com/274986/from-son-of-tonga-driver-in-british-india-to-business-icon-in-africa-a-story-of-grit/
"IIT Graduate’s Fridge for Farmers Saves Electricity, Keeps Veggies Fresh for 30 Days",Anagha R Manoj,https://www.thebetterindia.com/274955/iit-graduate-sabjikothi-refrigerate-storage-device-innovation-helps-farmers/
‘I Quit My Job in The US to Sell Organic Turmeric & Help Farmers Double their Income’,Anjali Krishnan,https://www.thebetterindia.com/274975/divine-foods-helps-organic-turmeric-farmers-earn-double-sell-to-us-uk/
"At Just Rs 10, This Unisex Urine Bag Is Your Answer to Long Road Trips",Vidya Raja,https://www.thebetterindia.com/274974/peeschute-useful-urine-bags-long-road-trips-shark-tank-siddhant-tawarawala/
Did You Know About Odisha’s Trans Person Policy & Its Efforts for an Inclusive Future?,Civis,https://www.thebetterindia.com/274970/odisha-transgender-person-policy-2021-protection-of-rights-inclusive-state-government/
The Better India’s Video Helps 3D Printing Startup Get Funding Offer from Anand Mahindra,Himanshu Nitnaware,https://www.thebetterindia.com/274943/anand-mahindra-funding-iit-madras-3d-printed-house-startup-tvasta-manufacturing/
"Failed Twice, Then Tragedy Struck: IFS Officer Shares ‘Life Altering’ UPSC Journey",Anagha R Manoj,https://www.thebetterindia.com/274791/ifs-officer-anisha-tomar-upsc-cse-journey-study-preparation/
Fountain Pen ‘Magician’ Who Once Fixed Satyajit Ray’s Pens Has Been at it for 40 Years,Gopi Karelia,https://www.thebetterindia.com/274707/dilip-basak-fountain-pens-shop-fix-repair-kolkata/
Father’s Struggle Inspires Biochemist’s Innovation That Boosts Crop Yield By 35%,Himanshu Nitnaware,https://www.thebetterindia.com/274727/karnataka-biochemist-innovation-improves-plant-photosynthesis-increases-farm-yield/
Lijjat Papad: 7 Homemakers Turn Their Dreams Into A Rs 1600 Crore Empire,Anagha R Manoj,https://www.thebetterindia.com/274700/homemakers-start-iconic-lijjat-papad-brand-earn-crores/
"A Tigress Among Men, She Fought Her Village To Be Ranthambore’s First Woman Naturalist",Vidya Raja,https://www.thebetterindia.com/274689/suraj-bai-meena-ranthambore-national-park-first-woman-naturalist-inspiring/
Meet the Man Behind ‘Anti-Suicide’ Ceiling Fan Rods That Won Rs. 50 Lakh on Shark Tank,Gopi Karelia,https://www.thebetterindia.com/274677/mumbai-man-innovates-anti-suicide-rods-kota-hostels-bags-shark-tank-funding/
"75-YO Designs Low-Cost Bricks That Don’t Need Plaster, Show Advantages Like Mud Walls",Anagha R Manoj,https://www.thebetterindia.com/274679/kerala-man-builds-low-cost-sustainable-eco-friendly-home-mud-walls/
Union Budget 2022: Here’s What Has Become Cheaper & Costlier This Year,Vidya Raja,https://www.thebetterindia.com/274682/union-budget-2022-nirmala-sitharaman-finance-cheaper-costlier-spends/
Lessons I Learned When Homeschooling My 3 Children Over 13 Years,Vidya Raja,https://www.thebetterindia.com/274602/teacher-homeschools-children-shares-tips-fun-syllabus-social-skills/
Determined Forest Officer Inspires Lahaul’s Villages to Protect Snow Leopards,Himanshu Nitnaware,https://www.thebetterindia.com/274641/forest-guard-officer-photographs-snow-leopard-conservation-himachal-pradesh/
"What Tolstoy Wrote in His Letters to Gandhi, Influencing His Path Toward Ahimsa",Rinchen Norbu Wangchuk,https://www.thebetterindia.com/274643/leo-tolstoy-letters-influenced-mahatma-gandhi-ahimsa-non-violence/
What’s The Best Way To Revise For An Exam? Topper’s Useful Hacks Goes Viral,Himanshu Nitnaware,https://www.thebetterindia.com/274642/how-to-revise-for-exam-topper-shares-tips-tricks-quora-viral/
"Working For 30 Years, Prof Revives Vechur Cattle Breed From Brink Of Extinction",Anjali Krishnan,https://www.thebetterindia.com/274609/kerala-sosamma-iype-saves-vechur-cow-wins-padma-shri/
"‘They Said I Won’t Return Alive, Yet I Helped 2000 in Naxal-Affected Areas Get Jobs’",Divya Sethu,https://www.thebetterindia.com/274597/neelam-gupta-empowers-youth-naxal-affected-areas-find-jobs-odisha-jharkhand/
A Popular Literary Island off the Coast of Chile Needs Your Help,Ananya Barua,https://www.thebetterindia.com/274603/robinson-crusoe-island-endangered-species-lenovo-working-remotely-initiative/
Watch: IIT-M’s Tvasta Can Print Sustainable Homes in Just A Few Weeks,Anagha R Manoj,https://www.thebetterindia.com/274587/iit-madras-startup-tvasta-builds-3d-printed-houses-india/
Librarian Learns to Grow 200+ Varieties of Veggies on His Terrace via Facebook,Anjali Krishnan,https://www.thebetterindia.com/274565/librarian-grows-vegetable-fruits-flowers-on-terrace-gardening-facebook/
"Why I Plastered My Eco-Friendly Home With Fenugreek, Jaggery And Rice Husk",Anjali Krishnan,https://www.thebetterindia.com/274509/how-to-build-cheap-ecofriendly-house-sustainable-construction-tips/
"Braving Abandonment, Heroic Woman Tended Leprosy Patients for 20 Years",Vidya Raja,https://www.thebetterindia.com/274551/unsung-hero-jaya-reddy-helps-abandoned-leprosy-patients-delhi/
"Man Turns Terrace In City Home Into a Lush Vineyard, Harvests 250 Kilos of Grapes",Himanshu Nitnaware,https://www.thebetterindia.com/274533/how-to-grow-grapes-on-terrace-gardening-tips/
"Awarded Padma Bhushan, This Scientist’s Wheat Has Saved Millions of Lives Globally",Rinchen Norbu Wangchuk,https://www.thebetterindia.com/274416/sanjaya-rajaram-awarded-padma-bhushan-research-wheat-varieties-indian-scientist/
Exclusive: Shark Tank India’s Jugadu Kamlesh Won Rs 10 Lakh With a ‘Filmy’ Pitch,Gopi Karelia,https://www.thebetterindia.com/274472/shark-tank-india-jugadu-kamlesh-builds-innovation-for-farmers/
The Man Who Took Gond Art From Tribal Huts to The World’s Top Museums,Surekha Kadapa-Bose,https://www.thebetterindia.com/274494/gond-artist-artwork-museums-france-usa-uk/
"Love the Sea? Apply For India’s First Diving Grant Worth Rs 70,000",Vidya Raja,https://www.thebetterindia.com/274451/coral-warrior-india-first-diving-grant-by-vidhi-bubna/
‘HealthifyMe For Cattle’? Startup Helps 2 Lakh Farmers Increase Profits By 50%,Himanshu Nitnaware,https://www.thebetterindia.com/274439/agritech-startup-e-feed-helps-cattle-farmers-increase-profits/
18 Must-Have Bamboo Products For Your Sustainable Home,Anagha R Manoj,https://www.thebetterindia.com/274425/buy-bamboo-products-on-amazon-india/
"For Rs 11/Unit, You Can Charge your EV at These 600+ Stations Found on an App",Rinchen Norbu Wangchuk,https://www.thebetterindia.com/274394/statiq-electric-vehicle-ev-charging-station-finder-app-delhi/
Why This IAS Officer Has Been Honoured With The Padma Shri After His Death,Gopi Karelia,https://www.thebetterindia.com/274371/hero-ias-wins-padma-shri-guruprasad-mohapatra-covid-19/
Mother’s Brain Surgery Inspired Startup That Bagged Highest Offer On Shark Tank India,Anagha R Manoj,https://www.thebetterindia.com/274361/keto-highest-shark-tank-india-offer-sahil-pruthi-healthcare-tech-startup/
"IOCL Recruitment: 142 Non-Executive Vacancies With Salary up to Rs 1,05,000/Month",Vidya Raja,https://www.thebetterindia.com/274351/indian-oil-corporation-limited-iocl-application-form-online-vacancies-salary-how-to-apply/
"Solar Lights, Bamboo Grove, Veggie Gardens: Kerala School Blazes a Carbon-Neutral Trail",Anjali Krishnan,https://www.thebetterindia.com/274293/ecofriendly-school-in-kerala-grows-bamboo-organic-vegetable-farming/
Padma Shri: Dr Himmatrao Finds a Path-Breaking Cure for Deadly Scorpion Sting,Divya Sethu,https://www.thebetterindia.com/274285/doctor-himmatrao-bawaskar-cures-scorpion-sting-deaths-wins-padma-shri/
"Society Grows Its Own Food Forest at Zero Cost, Saves Rs 1.5 Lakh",Himanshu Nitnaware,https://www.thebetterindia.com/274270/eco-friendly-society-in-bengaluru-grows-food-forest-sells-compost/
6 Things That Helped Me Crack UPSC CSE in a Pandemic Year: IAS Topper,Vidya Raja,https://www.thebetterindia.com/274210/ias-topper-upsc-cse-satyam-gandhi-tips-aspirants/
"With Just Rs 5000, This Man Helped Lakhs of Women With a Unique Carpet Business",Divya Sethu,https://www.thebetterindia.com/274248/jaipur-rugs-carpets-nand-kishore-chaudhary-rural-artisans/
"Scientist Quits Her PhD To Start Organic ‘Farm-to-Fork’ Brand, Earns In Lakhs",Gopi Karelia,https://www.thebetterindia.com/274240/kashmir-scientist-quits-phd-starts-organic-farming-homegreens-earns-lakhs/
"Padma Shri Awarded to Scientist Who Created Black Pearls, Wowed Kalam With His Work",Anagha R Manoj,https://www.thebetterindia.com/274215/padma-shri-to-ajai-kumar-sonkar-for-pearl-tissue-culture/
Backpacking Mama Shares What she Learnt on a Solo Trip to Germany with Her 1-YO,Guest Contributor,https://www.thebetterindia.com/274221/backpacking-mama-solo-mother-daughter-trip-to-germany-tips/
Want to Pursue a Career in Aerospace? Here’s How I Got My Dream Job at NASA,Anjali Krishnan,https://www.thebetterindia.com/274160/how-to-get-a-job-at-nasa-ibrahim-kaleel-aerospace-scientist/
20 Inspiring Villages Giving Life to India’s Vision for a Self-Reliant Future,Ananya Barua,https://www.thebetterindia.com/274165/top-inspiring-indian-villages-sustainable-development/
‘Why I Do the Job of a Ragpicker’: Artist Who has Recycled 19 Tonnes Plastic Waste,Himanshu Nitnaware,https://www.thebetterindia.com/274141/chennai-hero-artist-cleans-plastic-waste-inspires-countries/
Chennai’s New Superheroes Turned This Small Town Green with Their Amazing Initiatives,Anjali Krishnan,https://www.thebetterindia.com/274138/chitlapakkam-chennai-citizens-cleans-lake-plants-trees-terrace-gardening/
How I Brought Cellular Connectivity to My Mountain Village for 1st Time: IIT-B Student,Rinchen Norbu Wangchuk,https://www.thebetterindia.com/274123/iit-bombay-student-brings-cellular-connectivity-remote-himachal-pradesh-village/
From Battling Terrorists to Parkinson’s: 29 Young Bal Puraskar Awardees of 2022,Vidya Raja,https://www.thebetterindia.com/274099/prime-minister-bal-puruskar-awards-for-children-republic-day/
How to Fill DAF for UPSC Mains: Don’t Make These 5 Mistakes,Anagha R Manoj,https://www.thebetterindia.com/274094/how-to-fill-upsc-daf-for-cse-mains-quora/
Why I Gave up my Studies & Research to Help 20000 Children Living With Cancer,Himanshu Nitnaware,https://www.thebetterindia.com/274053/homemaker-helps-children-with-cancer-lucknow-ngo-sapna-upadhyaya/
Doctor Innovates Cell Therapy in India; Seeks to Make Vision Restoration 80% Cheaper,Rinchen Norbu Wangchuk,https://www.thebetterindia.com/274068/eyestem-eyecyte-rpe-reduce-cell-therapy-costs-in-india/
Innovator’s Needle-Free Glucometer Gives Results in 1 Minute; Bags Rs 500 Cr in Funding,Vidya Raja,https://www.thebetterindia.com/274036/eyva-bluesemi-non-invasive-glucometer-for-diabetics-blood-sugar-funding/
"Wedding Planners by Day, Animal Rescuers Always: The Couple That Impressed Nat Geo",Gopi Karelia,https://www.thebetterindia.com/274041/nat-geo-india-series-on-benhail-antao-louise-remedios-goa/
"Vaishali: World’s First Republic Was In India, And A Turning Point In History",Divya Sethu,https://www.thebetterindia.com/274022/worlds-first-republic-vaishali-bihar-ancient-india-history/
Bengaluru Student Builds Power Bank That Can Be Charged by Solar Panels,Anjali Krishnan,https://www.thebetterindia.com/274021/solar-power-bank-innovation-bengaluru-student-street-vendors/
"Inside the Rickshaw of Chennai’s Auto Anna, Who Anand Mahindra Calls a Marketing Guru",Anagha R Manoj,https://www.thebetterindia.com/273994/anand-mahindra-shares-viral-video-of-auto-anna-durai-chennai/
Kiran Mazumdar-Shaw’s Inspiring Journey to Provide Low-Cost Meds to Millions,Anagha R Manoj,https://www.thebetterindia.com/271151/kiran-mazumdar-shaw-biocon-medicines-podcast-women/
How a Housewife-Turned-Construction Worker Beat all Odds to Start her Own Business,Hiren Kumar Bose,https://www.thebetterindia.com/273988/housewife-entrepreneur-business-grant-tata-communication-csr/
Have Celiac Disease? Teen Changemaker Shares 5 Gluten-Free Indian Recipes,Tulika Chaturvedi,https://www.thebetterindia.com/273970/gluten-free-diet-for-celiac-disease-indian-recipes/
Pune’s Warrior Aaji: 86-YO Shanta Balu Pawar Is Sole Breadwinner for a Family of 20,Anagha R Manoj,https://www.thebetterindia.com/273956/shanta-balu-pawar-warrior-aaji-of-pune/
Umabai: When a Defiant Widow Led 150 Women to Fight for India’s Freedom,Gopi Karelia,https://www.thebetterindia.com/273937/umabai-kundapur-unsung-woman-freedom-fighter-india/
Who Is The Renowned Sculptor Who Will Carve Netaji’s Statue At India Gate?,Anagha R Manoj,https://www.thebetterindia.com/273963/who-is-adwaita-gadanayak-netaji-bose-india-gate-statue-sculptor/
